season,season_id,division_id,competition_phase,game_id,gohoops_game_id,game_date,game_datetime_local,timezone,home_team_id,away_team_id,home_team,away_team,home_points,away_points,status,venue,periods
2025-26,2,9,regular_season,1441,8132,2026-02-01,2026-02-01 14:30:00,Asia/Taipei,3,2,福爾摩沙夢想家,高雄全家海神,96,93,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1442,8133,2026-02-01,2026-02-01 17:00:00,Asia/Taipei,5,8,桃園台啤永豐雲豹,臺北台新戰神,98,87,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1443,8134,2026-02-07,2026-02-07 14:30:00,Asia/Taipei,2,5,高雄全家海神,桃園台啤永豐雲豹,75,101,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1444,8135,2026-02-07,2026-02-07 17:00:00,Asia/Taipei,8,7,臺北台新戰神,新北國王,96,98,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1445,8136,2026-02-08,2026-02-08 14:30:00,Asia/Taipei,2,6,高雄全家海神,新北中信特攻,84,113,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1446,8137,2026-02-08,2026-02-08 17:00:00,Asia/Taipei,8,3,臺北台新戰神,福爾摩沙夢想家,91,104,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1447,8138,2026-02-11,2026-02-11 19:00:00,Asia/Taipei,8,2,臺北台新戰神,高雄全家海神,90,104,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1448,8139,2026-02-14,2026-02-14 14:30:00,Asia/Taipei,7,8,新北國王,臺北台新戰神,116,95,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1449,8140,2026-02-14,2026-02-14 17:00:00,Asia/Taipei,5,3,桃園台啤永豐雲豹,福爾摩沙夢想家,98,100,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1450,8141,2026-02-15,2026-02-15 14:30:00,Asia/Taipei,7,4,新北國王,新竹御嵿攻城獅,100,85,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1451,8142,2026-02-15,2026-02-15 17:00:00,Asia/Taipei,5,6,桃園台啤永豐雲豹,新北中信特攻,96,93,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1452,8143,2026-03-04,2026-03-04 19:00:00,Asia/Taipei,7,5,新北國王,桃園台啤永豐雲豹,100,116,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1453,8144,2026-03-06,2026-03-06 19:00:00,Asia/Taipei,7,8,新北國王,臺北台新戰神,93,90,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1454,8145,2026-03-07,2026-03-07 14:30:00,Asia/Taipei,2,3,高雄全家海神,福爾摩沙夢想家,97,107,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1455,8146,2026-03-07,2026-03-07 17:00:00,Asia/Taipei,5,4,桃園台啤永豐雲豹,新竹御嵿攻城獅,111,114,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1456,8147,2026-03-08,2026-03-08 14:30:00,Asia/Taipei,2,6,高雄全家海神,新北中信特攻,90,88,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1457,8148,2026-03-08,2026-03-08 17:00:00,Asia/Taipei,5,7,桃園台啤永豐雲豹,新北國王,101,114,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1458,8149,2026-03-11,2026-03-11 19:00:00,Asia/Taipei,4,8,新竹御嵿攻城獅,臺北台新戰神,94,102,COMPLETED,新竹縣體育館,4
