game_id,team_id,OREB,DREB,REB,TOV,PF,time_on_court_seconds,plus_minus,OREB_team,DREB_team,REB_team,TOV_team,PF_team,team_points,opponent_points,periods,plus_minus_residual,minutes_residual_seconds,OREB_team_credit_difference,DREB_team_credit_difference,REB_team_credit_difference,TOV_team_credit_difference,PF_team_credit_difference
1432,8,7.0,24.0,31.0,20.0,17.0,14400.0,-80.0,9,26,35,21,17,79,95,4,0.0,0.0,2.0,2.0,4.0,1.0,0.0
1433,3,16.0,44.0,60.0,20.0,20.0,14400.0,-35.0,18,47,65,21,20,91,98,4,0.0,0.0,2.0,3.0,5.0,1.0,0.0
1433,5,17.0,35.0,52.0,8.0,17.0,14400.0,35.0,19,36,55,8,17,98,91,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1434,4,11.0,35.0,46.0,12.0,24.0,14400.0,15.0,13,35,48,12,24,101,98,4,0.0,0.0,2.0,0.0,2.0,0.0,0.0
1434,8,9.0,28.0,37.0,10.0,32.0,14400.0,30.0,10,29,39,11,32,98,101,4,45.0,0.0,1.0,1.0,2.0,1.0,0.0
1435,2,12.0,22.0,34.0,24.0,21.0,14400.0,-210.0,13,22,35,24,21,91,133,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1435,6,10.0,24.0,34.0,15.0,18.0,14400.0,210.0,12,28,40,18,18,133,91,4,0.0,0.0,2.0,4.0,6.0,3.0,0.0
1436,3,15.0,29.0,44.0,18.0,29.0,14400.0,-20.0,17,33,50,19,29,91,95,4,0.0,0.0,2.0,4.0,6.0,1.0,0.0
1436,4,13.0,30.0,43.0,18.0,24.0,14400.0,20.0,16,37,53,19,24,95,91,4,0.0,0.0,3.0,7.0,10.0,1.0,0.0
1437,6,7.0,25.0,32.0,11.0,19.0,14400.0,-40.0,9,27,36,11,19,104,112,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1437,8,9.0,29.0,38.0,10.0,15.0,14400.0,40.0,10,33,43,12,15,112,104,4,0.0,0.0,1.0,4.0,5.0,2.0,0.0
1438,4,10.0,28.0,38.0,12.0,16.0,14400.0,-35.0,11,32,43,12,16,87,94,4,0.0,0.0,1.0,4.0,5.0,0.0,0.0
1438,7,14.0,36.0,50.0,18.0,23.0,14400.0,35.0,15,39,54,19,23,94,87,4,0.0,0.0,1.0,3.0,4.0,1.0,0.0
1439,3,16.0,33.0,49.0,12.0,12.0,14400.0,-85.0,20,33,53,13,12,97,114,4,0.0,0.0,4.0,0.0,4.0,1.0,0.0
1439,7,4.0,35.0,39.0,10.0,22.0,14400.0,85.0,5,38,43,10,22,114,97,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1440,4,11.0,34.0,45.0,23.0,18.0,14400.0,-20.0,11,38,49,23,18,88,92,4,0.0,0.0,0.0,4.0,4.0,0.0,0.0
1440,5,12.0,31.0,43.0,18.0,16.0,14400.0,20.0,14,33,47,18,16,92,88,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1441,2,17.0,29.0,46.0,14.0,22.0,14400.0,-15.0,18,29,47,18,22,93,96,4,0.0,0.0,1.0,0.0,1.0,4.0,0.0
1441,3,19.0,29.0,48.0,20.0,19.0,14400.0,15.0,22,33,55,20,19,96,93,4,0.0,0.0,3.0,4.0,7.0,0.0,0.0
1442,5,13.0,35.0,48.0,12.0,21.0,14400.0,55.0,14,35,49,12,21,98,87,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1442,8,9.0,36.0,45.0,21.0,23.0,14400.0,-55.0,10,38,48,21,23,87,98,4,0.0,0.0,1.0,2.0,3.0,0.0,0.0
1443,2,16.0,32.0,48.0,21.0,22.0,14400.0,-130.0,18,33,51,24,22,75,101,4,0.0,0.0,2.0,1.0,3.0,3.0,0.0
1443,5,4.0,38.0,42.0,19.0,16.0,14400.0,130.0,6,39,45,20,16,101,75,4,0.0,0.0,2.0,1.0,3.0,1.0,0.0
1444,7,9.0,32.0,41.0,18.0,27.0,14400.0,25.0,9,35,44,21,27,98,96,4,15.0,0.0,0.0,3.0,3.0,3.0,0.0
1444,8,8.0,25.0,33.0,12.0,19.0,14400.0,-10.0,9,27,36,12,19,96,98,4,0.0,0.0,1.0,2.0,3.0,0.0,0.0
1445,2,15.0,28.0,43.0,23.0,21.0,14400.0,-145.0,16,30,46,24,21,84,113,4,0.0,0.0,1.0,2.0,3.0,1.0,0.0
1445,6,9.0,31.0,40.0,14.0,23.0,14400.0,145.0,11,34,45,14,23,113,84,4,0.0,0.0,2.0,3.0,5.0,0.0,0.0
1446,3,14.0,38.0,52.0,8.0,21.0,14400.0,65.0,15,41,56,8,21,104,91,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1446,8,12.0,33.0,45.0,6.0,19.0,14400.0,-65.0,14,35,49,8,19,91,104,4,0.0,0.0,2.0,2.0,4.0,2.0,0.0
1447,2,19.0,31.0,50.0,14.0,30.0,14400.0,70.0,22,33,55,16,30,104,90,4,0.0,0.0,3.0,2.0,5.0,2.0,0.0
1447,8,5.0,23.0,28.0,15.0,24.0,14400.0,-70.0,9,26,35,15,24,90,104,4,0.0,0.0,4.0,3.0,7.0,0.0,0.0
1448,7,13.0,31.0,44.0,13.0,22.0,14400.0,105.0,15,33,48,13,22,116,95,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1448,8,10.0,36.0,46.0,22.0,22.0,14400.0,-105.0,12,37,49,22,22,95,116,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1449,3,11.0,30.0,41.0,13.0,21.0,14400.0,10.0,13,35,48,15,21,100,98,4,0.0,0.0,2.0,5.0,7.0,2.0,0.0
1449,5,23.0,27.0,50.0,10.0,19.0,14400.0,-10.0,24,29,53,12,19,98,100,4,0.0,0.0,1.0,2.0,3.0,2.0,0.0
1450,4,9.0,29.0,38.0,15.0,18.0,14400.0,-75.0,10,31,41,15,18,85,100,4,0.0,0.0,1.0,2.0,3.0,0.0,0.0
1450,7,11.0,39.0,50.0,13.0,16.0,14400.0,75.0,13,40,53,14,16,100,85,4,0.0,0.0,2.0,1.0,3.0,1.0,0.0
1451,5,10.0,35.0,45.0,13.0,18.0,14400.0,15.0,13,39,52,13,18,96,93,4,0.0,0.0,3.0,4.0,7.0,0.0,0.0
1451,6,21.0,30.0,51.0,15.0,18.0,14400.0,-15.0,24,33,57,15,18,93,96,4,0.0,0.0,3.0,3.0,6.0,0.0,0.0
1452,5,12.0,34.0,46.0,12.0,18.0,14400.0,80.0,14,37,51,14,18,116,100,4,0.0,0.0,2.0,3.0,5.0,2.0,0.0
